customer_id,first_name,last_name,id_number,date_of_birth,gender,email,phone,province,city,registration_date,customer_segment,kyc_status,risk_rating,is_active
C0021,Sibusiso,Govender,1010112041188,1977-09-30,F,sibusiso_govender714@outlook.com,+27693135534,Mpumalanga,Nelspruit,2019-04-21,RETAIL,PENDING,MEDIUM,False
C0022,Sandile,Ngcobo,0607269502187,1989-08-20,F,sandilengcobo485@yahoo.com,+27652422633,Mpumalanga,Nelspruit,2021-05-13,PREMIUM,VERIFIED,LOW,True
C0023,Nokuthula,Petersen,0401024011189,1956-07-14,F,nokuthulapetersen590@icloud.com,+27667442089,Free State,Bloemfontein,2026-02-01,RETAIL,VERIFIED,MEDIUM,True
C0024,Mandla,Chauke,9308029132081,1990-12-14,M,mandlachauke544@icloud.com,+27816323376,Mpumalanga,Nelspruit,2024-12-04,PREMIUM,VERIFIED,LOW,True
C0025,Nokukhanya,Van der Merwe,2404274543183,1974-08-21,F,nokukhanyavandermerwe293@gmail.com,+27675558623,KwaZulu-Natal,Ballito,2022-07-14,RETAIL,VERIFIED,LOW,True
C0026,Palesa,Mahlangu,1009156812083,1987-09-11,F,palesamahlangu21@hotmail.com,+27827381734,Eastern Cape,Port Elizabeth,2025-09-12,RETAIL,VERIFIED,MEDIUM,True
C0027,Vusi,Pretorius,0807160475185,1986-04-10,M,vusi.pretorius638@icloud.com,+27811452421,Northern Cape,Kimberley,2023-11-02,PREMIUM,VERIFIED,LOW,True
C0028,Precious,Mokoena,0608115529184,1987-10-27,F,precious_mokoena20@gmail.com,+27811873851,Gauteng,Sandton,2022-11-06,RETAIL,VERIFIED,HIGH,True
C0029,Sipho,Khumalo,0703161874087,1972-12-27,F,siphokhumalo622@yahoo.com,+27633747534,Eastern Cape,Port Elizabeth,2021-12-23,RETAIL,VERIFIED,LOW,True
C0030,Lwazi,Naidoo,2611081669189,1960-11-10,M,lwazinaidoo439@outlook.com,+27722156902,Eastern Cape,Port Elizabeth,2026-05-07,PREMIUM,VERIFIED,LOW,True
C0031,Nonhlanhla,Govender,2309214425187,1989-01-28,F,nonhlanhla.govender851@outlook.com,+27625679639,North West,Rustenburg,2025-02-09,RETAIL,VERIFIED,MEDIUM,True
C0032,Sipho,Botha,1105114581188,1950-11-29,M,sipho.botha738@gmail.com,+27749196976,Limpopo,Polokwane,2020-05-22,PREMIUM,VERIFIED,LOW,True
C0033,Zanele,Ngcobo,0911196046188,1997-08-19,F,zanelengcobo564@icloud.com,+27716902401,Eastern Cape,East London,2025-03-06,RETAIL,VERIFIED,LOW,True
C0034,Naledi,Maseko,9005249659181,1967-06-01,F,naledi_maseko184@yahoo.com,+27691237370,Northern Cape,Kimberley,2017-11-02,RETAIL,EXPIRED,LOW,True
C0035,Kagiso,Abrahams,1805167843185,1966-07-17,M,kagiso_abrahams117@outlook.com,+27627722755,North West,Rustenburg,2026-01-11,RETAIL,VERIFIED,LOW,True
C0036,Sandile,Ngcobo,8610203697187,1989-09-20,F,sandile_ngcobo313@hotmail.com,+27822010496,Western Cape,Stellenbosch,2017-03-23,CORPORATE,VERIFIED,LOW,True
C0037,Tshepo,Khumalo,8608239729184,1952-12-05,M,tshepokhumalo290@outlook.com,+27762194198,KwaZulu-Natal,Durban,2020-03-27,CORPORATE,VERIFIED,MEDIUM,True
C0038,Sibusiso,Maharaj,0803030977084,2003-05-21,F,sibusiso.maharaj480@icloud.com,+27697752972,Western Cape,Stellenbosch,2021-02-08,PREMIUM,VERIFIED,LOW,True
C0039,Nonhlanhla,Maseko,7411279424084,2001-09-12,M,nonhlanhla_maseko532@yahoo.com,+27848419378,Limpopo,Tzaneen,2021-03-28,RETAIL,VERIFIED,MEDIUM,True
C0040,Zanele,Botha,2102282634186,1994-06-14,F,zanelebotha38@icloud.com,+27762477398,Limpopo,Tzaneen,2022-01-20,RETAIL,VERIFIED,MEDIUM,True
C0041,Thabo,Petersen,0609128167180,1968-04-06,F,thabo.petersen950@hotmail.com,+27698350368,Northern Cape,Upington,2025-11-14,RETAIL,EXPIRED,MEDIUM,True
C0042,Tshepo,Ngcobo,0204271858181,1963-10-25,F,tshepongcobo723@outlook.com,+27687970771,Northern Cape,Kimberley,2025-10-27,CORPORATE,VERIFIED,LOW,True
C0043,Nosipho,Maseko,8606268318180,1975-05-18,F,nosiphomaseko676@hotmail.com,+27783493017,KwaZulu-Natal,Durban,2025-01-06,PREMIUM,VERIFIED,LOW,True
C0044,Precious,Shabalala,0710133826180,1978-07-19,F,precious_shabalala680@icloud.com,+27843551903,Limpopo,Polokwane,2026-02-09,CORPORATE,VERIFIED,HIGH,True
C0045,Mandla,Cele,1401242361182,1956-09-17,F,mandla_cele639@outlook.com,+27732347467,North West,Rustenburg,2022-05-15,PRIVATE_WEALTH,PENDING,LOW,True
C0046,Mthunzi,Cele,0711224708081,1988-12-07,M,mthunzi_cele171@gmail.com,+27691485654,Northern Cape,Kimberley,2016-01-12,RETAIL,VERIFIED,LOW,True
C0047,Nokuthula,Du Plessis,6510286267087,2002-04-26,M,nokuthula_duplessis654@yahoo.com,+27688710313,Mpumalanga,Nelspruit,2020-09-22,PREMIUM,PENDING,LOW,True
C0048,Anele,Mokoena,1805216951187,1977-02-07,M,anele_mokoena110@icloud.com,+27677398231,Western Cape,George,2023-01-19,PREMIUM,EXPIRED,LOW,False
C0049,Thandiwe,Sithole,2412029935184,1970-08-24,F,thandiwesithole195@yahoo.com,+27835204819,Gauteng,Midrand,2018-01-25,PREMIUM,PENDING,MEDIUM,True
C0050,Dumisani,Dlamini,7806246807083,1961-11-09,F,dumisanidlamini936@hotmail.com,+27683760597,Limpopo,Polokwane,2020-10-06,CORPORATE,PENDING,HIGH,True
C0051,Andile,Mabaso,0404286511181,1985-05-26,M,andilemabaso127@outlook.com,+27767183841,Western Cape,George,2020-11-17,PREMIUM,VERIFIED,HIGH,True
C0052,Mpho,Botha,1706203626087,1977-02-10,F,mpho.botha47@gmail.com,+27616106390,Gauteng,Midrand,2026-01-18,RETAIL,VERIFIED,LOW,True
C0053,Zinhle,Petersen,2303141622189,1986-08-13,F,zinhlepetersen380@gmail.com,+27668438733,Northern Cape,Upington,2024-12-21,CORPORATE,PENDING,LOW,True
C0054,Anele,Zwane,0602287450083,2003-07-29,M,anele_zwane250@gmail.com,+27644442778,Limpopo,Polokwane,2016-07-16,PRIVATE_WEALTH,VERIFIED,LOW,True
C0055,Mpho,Pillay,6903184106081,1952-04-24,M,mpho_pillay809@gmail.com,+27676431983,KwaZulu-Natal,Durban,2015-05-10,RETAIL,VERIFIED,MEDIUM,True
C0056,Bongani,Botha,0308173629088,1977-01-22,F,bongani.botha491@gmail.com,+27738151684,North West,Mahikeng,2017-06-03,RETAIL,PENDING,LOW,True
C0057,Palesa,Zulu,1809235327189,1997-08-07,F,palesazulu620@icloud.com,+27742663938,KwaZulu-Natal,Umhlanga,2017-07-26,PRIVATE_WEALTH,VERIFIED,MEDIUM,True
C0058,Ayanda,Maharaj,2608136815085,1988-04-15,F,ayanda_maharaj977@outlook.com,+27648956894,North West,Rustenburg,2016-07-03,RETAIL,VERIFIED,LOW,True
C0059,Zinhle,Mabaso,1709112002185,1987-12-11,M,zinhlemabaso320@outlook.com,+27722738129,KwaZulu-Natal,Durban,2026-05-19,RETAIL,VERIFIED,LOW,True
C0060,Nokukhanya,Govender,2507289190089,1973-12-29,M,nokukhanya_govender720@yahoo.com,+27696701311,Western Cape,Paarl,2022-11-15,RETAIL,PENDING,LOW,True
C0061,Palesa,Maseko,0607147432182,1983-03-14,F,palesamaseko611@outlook.com,+27621882629,Gauteng,Johannesburg,2018-06-28,RETAIL,VERIFIED,MEDIUM,True
C0062,Nonhlanhla,Botha,9202127043084,2003-03-19,F,nonhlanhlabotha316@hotmail.com,+27614699685,North West,Mahikeng,2023-11-12,CORPORATE,VERIFIED,LOW,False
C0063,Kagiso,Chauke,0008247055082,1984-02-10,M,kagisochauke854@hotmail.com,+27722209226,Free State,Welkom,2023-11-27,PRIVATE_WEALTH,VERIFIED,LOW,False
C0064,Khethukuthula,Jacobs,1305046636085,1965-06-02,F,khethukuthula.jacobs448@outlook.com,+27635082173,Mpumalanga,Witbank,2024-10-09,PREMIUM,VERIFIED,LOW,True
C0065,Andile,Khumalo,6709173176185,1963-04-02,M,andile.khumalo263@gmail.com,+27663910830,Limpopo,Polokwane,2018-06-06,PREMIUM,VERIFIED,LOW,True
C0066,Mthunzi,Van der Merwe,2006057205087,1989-09-03,F,mthunzivandermerwe58@outlook.com,+27729511700,North West,Mahikeng,2016-08-30,RETAIL,VERIFIED,LOW,True
C0067,Bongani,Abrahams,1712027368085,2004-04-11,F,bongani.abrahams981@hotmail.com,+27618558523,Western Cape,George,2017-04-27,PRIVATE_WEALTH,VERIFIED,HIGH,True
C0068,Lindiwe,Dlamini,1409179991085,1983-06-14,F,lindiwe_dlamini794@icloud.com,+27711878547,Eastern Cape,Makhanda,2022-07-04,RETAIL,VERIFIED,MEDIUM,True
C0069,Palesa,Pillay,0911236421089,1957-08-08,F,palesa_pillay659@hotmail.com,+27713144023,Western Cape,Stellenbosch,2017-02-04,PREMIUM,VERIFIED,LOW,True
C0070,Lindiwe,Molefe,6803034846088,1998-06-05,M,lindiwemolefe135@outlook.com,+27837320310,Limpopo,Tzaneen,2018-06-17,RETAIL,VERIFIED,MEDIUM,True
C0071,Tshepo,Maseko,2112087277187,1970-12-29,M,tshepo_maseko926@outlook.com,+27667171347,North West,Rustenburg,2024-11-18,RETAIL,VERIFIED,LOW,True
C0072,Tshepo,Radebe,7601217873188,1959-03-16,M,tshepo.radebe782@outlook.com,+27655576678,Eastern Cape,Makhanda,2025-01-28,CORPORATE,VERIFIED,LOW,False
C0073,Mpho,Radebe,1301138224183,1984-08-23,M,mpho.radebe29@outlook.com,+27712662338,North West,Mahikeng,2022-07-09,PREMIUM,VERIFIED,LOW,True
C0074,Kagiso,Chauke,0201093533088,2004-08-16,F,kagiso_chauke244@gmail.com,+27693044276,North West,Mahikeng,2016-01-27,RETAIL,VERIFIED,MEDIUM,True
C0075,Mthunzi,Williams,1804232352186,1950-02-21,F,mthunziwilliams427@yahoo.com,+27652436363,Northern Cape,Kimberley,2023-02-02,RETAIL,VERIFIED,LOW,False
C0076,Nokukhanya,Nkosi,8406090266181,1980-12-07,M,nokukhanyankosi753@gmail.com,+27713238241,Mpumalanga,Witbank,2015-12-30,RETAIL,VERIFIED,MEDIUM,True
C0077,Precious,Mahlangu,0212257498084,1968-02-01,M,precious.mahlangu324@yahoo.com,+27699646701,North West,Rustenburg,2023-12-07,CORPORATE,VERIFIED,LOW,True
C0078,Sibusiso,Ngcobo,1005046029186,1989-06-14,F,sibusiso.ngcobo509@outlook.com,+27787163058,Limpopo,Polokwane,2026-08-24,RETAIL,VERIFIED,LOW,True
C0079,Lindiwe,Pretorius,8011105021189,1988-03-24,M,lindiwe_pretorius458@icloud.com,+27616914963,Free State,Welkom,2024-10-03,RETAIL,EXPIRED,HIGH,True
C0080,Thandiwe,Govender,0410227179082,1956-01-13,M,thandiwe_govender393@outlook.com,+27821543335,Northern Cape,Kimberley,2018-06-10,PREMIUM,PENDING,LOW,True
C0081,Sandile,Mkhize,2005081858082,1994-10-09,F,sandile.mkhize269@hotmail.com,+27688487220,Northern Cape,Upington,2019-10-24,CORPORATE,VERIFIED,HIGH,True
C0082,Naledi,Mkhize,8802265236181,1999-05-06,F,naledi.mkhize729@outlook.com,+27843920762,Western Cape,George,2023-02-09,PREMIUM,VERIFIED,LOW,True
C0083,Mthunzi,Nkosi,1703201412084,1985-09-20,F,mthunzi_nkosi788@hotmail.com,+27742237331,Limpopo,Tzaneen,2017-10-23,CORPORATE,VERIFIED,LOW,True
C0084,Nhlanhla,Mkhize,0407170907088,1963-09-24,F,nhlanhla.mkhize331@yahoo.com,+27676805303,Northern Cape,Kimberley,2026-08-21,PRIVATE_WEALTH,VERIFIED,LOW,True
C0085,Nokukhanya,Sithole,0209212762082,2004-04-16,F,nokukhanya.sithole846@hotmail.com,+27602362693,KwaZulu-Natal,Umhlanga,2016-01-08,CORPORATE,VERIFIED,LOW,True
C0086,Sandile,Maharaj,1705214949183,1986-06-07,F,sandile.maharaj706@icloud.com,+27613652149,Gauteng,Centurion,2024-11-10,RETAIL,VERIFIED,LOW,True
C0087,Khethukuthula,Maseko,8309181739183,1991-11-07,M,khethukuthula_maseko254@outlook.com,+27642624230,Limpopo,Tzaneen,2016-02-19,RETAIL,VERIFIED,MEDIUM,True
C0088,Tshepo,Radebe,7008177648184,1994-08-15,M,tshepo_radebe518@gmail.com,+27765038756,Limpopo,Tzaneen,2019-10-29,PREMIUM,VERIFIED,LOW,True
C0089,Thandeka,Ngcobo,1303095992185,1954-01-22,F,thandekangcobo576@gmail.com,+27667082139,Northern Cape,Kimberley,2021-06-22,RETAIL,VERIFIED,MEDIUM,True
C0090,Naledi,Mkhize,1009122363089,1995-09-04,F,naledi.mkhize47@hotmail.com,+27613299088,Western Cape,George,2022-06-21,PRIVATE_WEALTH,VERIFIED,LOW,True
C0091,Kagiso,Pillay,1912274902188,1995-09-24,F,kagiso_pillay487@hotmail.com,+27607180018,Limpopo,Polokwane,2022-06-06,PREMIUM,EXPIRED,LOW,True
C0092,Sipho,Williams,2510193728089,1993-02-07,M,siphowilliams739@hotmail.com,+27837378535,North West,Mahikeng,2018-04-25,PRIVATE_WEALTH,VERIFIED,LOW,True
C0093,Sibusiso,Nkosi,1312076723180,1962-05-22,M,sibusiso_nkosi679@hotmail.com,+27789816043,North West,Mahikeng,2023-06-14,RETAIL,VERIFIED,HIGH,True
C0094,Nhlanhla,Petersen,7505184890084,1975-12-06,M,nhlanhla_petersen492@icloud.com,+27725587856,Free State,Welkom,2021-06-15,RETAIL,VERIFIED,LOW,False
C0095,Nhlanhla,Chauke,6506154201183,1968-02-17,F,nhlanhlachauke279@hotmail.com,+27642832517,KwaZulu-Natal,Umhlanga,2020-05-14,RETAIL,VERIFIED,LOW,True
C0096,Lerato,Ndlovu,0311252252088,1964-03-03,F,lerato_ndlovu667@icloud.com,+27665819172,Mpumalanga,Witbank,2022-03-16,RETAIL,VERIFIED,MEDIUM,True
C0097,Mpho,Pretorius,2603026504182,1975-12-21,M,mpho_pretorius582@gmail.com,+27832800206,Gauteng,Pretoria,2022-07-07,RETAIL,EXPIRED,LOW,True
C0098,Kagiso,Cele,6706067518182,1951-04-07,F,kagisocele691@outlook.com,+27663944316,Northern Cape,Upington,2024-02-04,PRIVATE_WEALTH,VERIFIED,LOW,True
C0099,Lindiwe,Mkhize,0005133858184,1979-07-29,F,lindiwemkhize587@hotmail.com,+27605388133,North West,Mahikeng,2023-01-24,PREMIUM,VERIFIED,LOW,True
C0100,Thandiwe,Petersen,2005123618082,1992-11-25,M,thandiwepetersen621@icloud.com,+27727976731,Northern Cape,Upington,2025-07-24,PREMIUM,VERIFIED,MEDIUM,True
C0101,Zanele,Du Plessis,9602028972089,1998-02-23,M,zanele_duplessis875@yahoo.com,+27798412854,North West,Mahikeng,2017-08-10,PREMIUM,VERIFIED,LOW,True
C0102,Dumisani,Mabaso,8608190945184,1951-12-15,F,dumisani.mabaso764@outlook.com,+27662225232,Gauteng,Centurion,2016-01-07,RETAIL,VERIFIED,LOW,True
C0103,Bongani,Shabalala,7103256887186,1990-03-29,F,bongani.shabalala700@icloud.com,+27813231198,North West,Rustenburg,2022-10-19,RETAIL,EXPIRED,LOW,True
C0104,Mpho,Radebe,1411248920188,1984-01-11,M,mpho_radebe355@yahoo.com,+27645624635,Gauteng,Johannesburg,2019-03-25,CORPORATE,VERIFIED,LOW,True
C0105,Vusi,Williams,6610027314083,1953-12-20,F,vusi.williams553@icloud.com,+27661946973,Gauteng,Pretoria,2018-02-21,PREMIUM,VERIFIED,MEDIUM,True
C0106,Khethukuthula,Jacobs,0411173621184,1974-09-08,M,khethukuthulajacobs901@hotmail.com,+27658167236,Limpopo,Polokwane,2026-02-12,RETAIL,VERIFIED,MEDIUM,True
C0107,Bheki,Pillay,8403258813183,1970-03-21,F,bheki_pillay937@yahoo.com,+27617923579,Mpumalanga,Witbank,2024-05-05,PREMIUM,VERIFIED,LOW,True
C0108,Zanele,Shabalala,7201096179081,1966-11-18,M,zanele.shabalala891@icloud.com,+27716086650,North West,Mahikeng,2015-05-06,RETAIL,VERIFIED,MEDIUM,True
C0109,Thandeka,Shabalala,0607089045184,1984-02-25,F,thandekashabalala368@hotmail.com,+27695388275,Eastern Cape,Makhanda,2023-01-25,PREMIUM,VERIFIED,LOW,False
C0110,Thandeka,Chauke,1301193625080,1973-05-25,F,thandeka.chauke201@outlook.com,+27714859072,Limpopo,Polokwane,2023-07-09,PREMIUM,VERIFIED,LOW,False
C0111,Andile,Sithole,2306062293182,1998-08-21,M,andile.sithole860@hotmail.com,+27621813936,North West,Mahikeng,2015-02-22,RETAIL,VERIFIED,LOW,True
C0112,Thabo,Molefe,1911227916180,1950-08-05,F,thabo.molefe543@gmail.com,+27689988193,Northern Cape,Upington,2021-06-06,RETAIL,VERIFIED,MEDIUM,True
C0113,Lindiwe,Ndlovu,9909095807186,1957-02-02,F,lindiwe_ndlovu579@icloud.com,+27674789255,Western Cape,Stellenbosch,2021-09-23,PREMIUM,VERIFIED,MEDIUM,True
C0114,Nomsa,Zulu,1501210154081,1994-11-05,F,nomsazulu879@outlook.com,+27639861040,Mpumalanga,Witbank,2015-12-15,RETAIL,PENDING,MEDIUM,True
C0115,Busisiwe,Dlamini,1811022938180,1968-08-02,M,busisiwe.dlamini307@icloud.com,+27655034453,Western Cape,Paarl,2023-09-23,PREMIUM,VERIFIED,LOW,True
C0116,Zanele,Du Plessis,7402119915185,1952-08-28,F,zanele_duplessis234@icloud.com,+27727298619,Limpopo,Polokwane,2024-09-07,RETAIL,VERIFIED,LOW,True
C0117,Siyabonga,Mabaso,7703132527185,1982-05-12,M,siyabonga.mabaso966@gmail.com,+27698461429,Eastern Cape,Makhanda,2023-01-27,PREMIUM,VERIFIED,LOW,True
C0118,Nokukhanya,Pretorius,6506181524186,1951-02-09,F,nokukhanya_pretorius798@icloud.com,+27625072543,Northern Cape,Upington,2026-09-08,RETAIL,VERIFIED,LOW,True
C0119,Mthunzi,Mkhize,1305161260184,1972-02-15,F,mthunzimkhize201@hotmail.com,+27762794698,Western Cape,Stellenbosch,2018-01-14,RETAIL,PENDING,LOW,True
C0120,Andile,Van der Merwe,2010054922189,1968-01-08,F,andile.vandermerwe988@outlook.com,+27736354241,Limpopo,Tzaneen,2021-07-15,PREMIUM,VERIFIED,HIGH,True
C0121,Khethukuthula,Naidoo,1804198939088,1952-05-31,F,khethukuthula_naidoo817@yahoo.com,+27692160289,Free State,Welkom,2024-03-05,PREMIUM,VERIFIED,LOW,True
C0122,Palesa,Mahlangu,9808196566188,1953-04-19,F,palesamahlangu654@hotmail.com,+27622834914,Mpumalanga,Witbank,2020-07-26,PREMIUM,VERIFIED,MEDIUM,True
C0123,Thandiwe,Chauke,6605088366087,1983-07-26,F,thandiwechauke603@icloud.com,+27793529080,Limpopo,Tzaneen,2022-09-26,CORPORATE,VERIFIED,LOW,False
C0124,Zanele,Ndlovu,1404177912187,1958-10-04,F,zanele_ndlovu69@icloud.com,+27691749657,KwaZulu-Natal,Umhlanga,2017-07-31,RETAIL,VERIFIED,LOW,True
C0125,Nokuthula,Du Plessis,1308086636082,1988-10-08,F,nokuthuladuplessis629@gmail.com,+27668542617,KwaZulu-Natal,Pietermaritzburg,2024-08-19,RETAIL,VERIFIED,LOW,True
C0126,Bongani,Jacobs,0608044298188,1978-02-12,F,bongani_jacobs602@hotmail.com,+27636837206,Western Cape,Stellenbosch,2022-11-23,PRIVATE_WEALTH,VERIFIED,MEDIUM,True
C0127,Nompumelelo,Shabalala,0705042999182,1995-10-30,F,nompumeleloshabalala142@icloud.com,+27827437584,Western Cape,Stellenbosch,2024-06-27,RETAIL,VERIFIED,MEDIUM,True
C0128,Lindiwe,Pretorius,7106277389085,1950-11-11,F,lindiwe.pretorius835@yahoo.com,+27739479842,KwaZulu-Natal,Ballito,2026-02-06,RETAIL,VERIFIED,MEDIUM,True
C0129,Tshepo,Zulu,7704184729087,2000-09-30,F,tshepozulu116@hotmail.com,+27822916069,Gauteng,Pretoria,2021-01-03,PREMIUM,VERIFIED,LOW,True
C0130,Nomsa,Chauke,0312274055180,1990-05-07,F,nomsa.chauke450@outlook.com,+27634975295,North West,Rustenburg,2019-09-16,PRIVATE_WEALTH,VERIFIED,LOW,True
C0131,Nonhlanhla,Mokoena,2501195747189,1998-05-03,M,nonhlanhlamokoena300@outlook.com,+27695485272,KwaZulu-Natal,Pietermaritzburg,2026-07-16,CORPORATE,VERIFIED,LOW,False
C0132,Vusi,Shabalala,0412282174082,1978-11-24,M,vusi_shabalala146@icloud.com,+27825508325,Gauteng,Sandton,2024-04-16,RETAIL,VERIFIED,MEDIUM,True
C0133,Thandiwe,Du Plessis,1506190040087,1982-02-20,M,thandiwe_duplessis224@hotmail.com,+27744554277,Free State,Welkom,2026-02-04,RETAIL,VERIFIED,LOW,True
C0134,Sandile,Cele,2401021631180,1961-02-23,M,sandile_cele1@icloud.com,+27744394336,North West,Mahikeng,2017-12-16,PRIVATE_WEALTH,VERIFIED,MEDIUM,True
C0135,Zanele,Abrahams,7001135005086,1958-03-08,M,zanele.abrahams489@gmail.com,+27623226333,Limpopo,Tzaneen,2020-01-27,PREMIUM,VERIFIED,LOW,True
C0136,Naledi,Cele,0707031678085,1982-12-23,F,naledi_cele793@yahoo.com,+27643396676,Mpumalanga,Nelspruit,2016-07-14,PREMIUM,VERIFIED,MEDIUM,True
C0137,Ayanda,Abrahams,1404031646081,2002-11-23,F,ayanda_abrahams323@outlook.com,+27645157165,KwaZulu-Natal,Ballito,2021-03-18,PREMIUM,VERIFIED,MEDIUM,True
C0138,Siyabonga,Chauke,9809076418180,1971-06-22,F,siyabonga.chauke247@icloud.com,+27782191383,Gauteng,Sandton,2015-04-09,CORPORATE,PENDING,LOW,True
C0139,Sandile,Maharaj,2402019623080,1973-07-10,M,sandile.maharaj972@gmail.com,+27739499515,Limpopo,Polokwane,2021-06-04,PREMIUM,VERIFIED,LOW,True
C0140,Zanele,Abrahams,7902173329088,1979-04-25,F,zaneleabrahams782@hotmail.com,+27842109227,Northern Cape,Kimberley,2021-12-15,PREMIUM,VERIFIED,MEDIUM,True
C0141,Zanele,Shabalala,1901102877080,1962-04-24,M,zanele_shabalala976@yahoo.com,+27729774573,Mpumalanga,Nelspruit,2026-08-08,PREMIUM,VERIFIED,LOW,True
C0142,Busisiwe,Maseko,1305171046189,1956-11-30,F,busisiwemaseko369@icloud.com,+27619382064,Western Cape,Cape Town,2018-09-29,RETAIL,VERIFIED,LOW,True
C0143,Naledi,Khumalo,6004027729186,1963-06-19,M,naledikhumalo823@gmail.com,+27848035849,Northern Cape,Kimberley,2020-01-14,RETAIL,VERIFIED,MEDIUM,True
C0144,Bongani,Jacobs,0103088450086,1956-03-08,F,bongani_jacobs336@outlook.com,+27628662929,Limpopo,Polokwane,2015-03-07,RETAIL,VERIFIED,MEDIUM,True
C0145,Nokuthula,Van der Merwe,2404248954082,1950-07-28,F,nokuthula.vandermerwe555@gmail.com,+27721160974,Limpopo,Tzaneen,2022-07-07,RETAIL,VERIFIED,MEDIUM,True
C0146,Mandla,Molefe,0103234584080,1970-10-07,F,mandla_molefe998@outlook.com,+27622603516,Northern Cape,Kimberley,2026-05-03,RETAIL,VERIFIED,LOW,True
C0147,Nonhlanhla,Petersen,8007235345187,1974-05-26,M,nonhlanhla.petersen140@gmail.com,+27822828260,KwaZulu-Natal,Pietermaritzburg,2018-06-27,RETAIL,VERIFIED,LOW,True
C0148,Nhlanhla,Chauke,0802032582189,1953-08-14,M,nhlanhla.chauke94@outlook.com,+27676968373,Eastern Cape,East London,2023-11-21,PREMIUM,VERIFIED,LOW,False
