payment_id,customer_id,account_id,policy_id,amount,currency,payment_date,payment_method,status,reference,failure_reason
PAY000035,C0123,A1476,,470.0,ZAR,2025-07-30,CASH,COMPLETED,PAYREF3C72699E27,
PAY000036,C0851,A0250,POL0310,1608.98,ZAR,2025-08-27,EFT,COMPLETED,PAYREF15CB7A3D65,
PAY000037,C0373,A0380,,10366.53,ZAR,2026-06-22,CASH,COMPLETED,PAYREF363748CC8F,
PAY000038,C0696,A0083,,1512.08,ZAR,2024-06-10,MOBILE,COMPLETED,PAYREFE5E4A67787,
PAY000039,C0633,A1407,POL0407,815.72,ZAR,2024-02-03,DEBIT_ORDER,FAILED,PAYREF03DC9544BE,Insufficient funds
PAY000040,C0130,A1347,POL0374,1874.01,ZAR,2026-02-06,CARD,COMPLETED,PAYREF4721BC2FC3,
PAY000041,C0177,A0625,,1989.69,ZAR,2024-09-08,CASH,COMPLETED,PAYREFC737FCD47E,
PAY000042,C0312,A0738,POL0769,1967.76,ZAR,2025-06-26,CARD,COMPLETED,PAYREFD56A6CB617,
PAY000043,C0136,A0370,POL0557,4328.08,ZAR,2024-04-24,CARD,COMPLETED,PAYREF28026A9488,
PAY000044,C0240,A0168,POL0083,1613.39,ZAR,2025-09-08,CASH,COMPLETED,PAYREFEF664AF030,
PAY000045,C0855,A1085,,4127.44,ZAR,2025-12-03,MOBILE,COMPLETED,PAYREF0A3E4AA71C,
PAY000046,C0614,A1086,POL0117,1380.55,ZAR,2025-12-26,CARD,COMPLETED,PAYREF7483717E29,
PAY000047,C0902,A0538,,4976.58,ZAR,2025-04-19,MOBILE,PENDING,PAYREFC223896A74,
PAY000048,C0866,A1247,POL0393,3665.56,ZAR,2024-05-11,CARD,COMPLETED,PAYREF9B76B6FC63,
PAY000049,C0983,A0041,,2756.73,ZAR,2025-09-29,MOBILE,COMPLETED,PAYREFAB050DD95B,
PAY000050,C0599,A1315,POL0782,2414.35,ZAR,2024-02-27,DEBIT_ORDER,FAILED,PAYREF74CE0C676E,Technical error
PAY000051,C0472,A1417,,10954.63,ZAR,2026-01-06,CASH,COMPLETED,PAYREF004F02CA77,
PAY000052,C0245,A0596,,3218.33,ZAR,2024-05-17,CARD,COMPLETED,PAYREF6ADC9E5DE5,
PAY000053,C0012,A0810,,469.04,ZAR,2024-01-17,CASH,COMPLETED,PAYREFCD280ADDB8,
PAY000054,C0579,A0547,,1402.34,ZAR,2024-02-23,DEBIT_ORDER,COMPLETED,PAYREFD25B97E8CD,
PAY000055,C0619,A0085,POL0767,841.58,ZAR,2024-01-12,DEBIT_ORDER,COMPLETED,PAYREFAEAB4FA20A,
PAY000056,C0254,A1070,POL0219,8642.75,ZAR,2024-08-28,MOBILE,COMPLETED,PAYREF6FF60B0779,
PAY000057,C0613,A0114,,3833.13,ZAR,2024-10-14,CARD,COMPLETED,PAYREFA8FCC274ED,
PAY000058,C0364,A0216,POL0484,8366.17,ZAR,2026-08-11,DEBIT_ORDER,FAILED,PAYREF783E8F77FC,Insufficient funds
PAY000059,C0903,A0048,,512.86,ZAR,2026-02-01,DEBIT_ORDER,COMPLETED,PAYREF82F71AC8BF,
PAY000060,C0548,A1495,POL0511,3299.99,ZAR,2025-11-15,CARD,COMPLETED,PAYREF8E5E0FA942,
PAY000061,C0730,A0683,POL0188,280.19,ZAR,2026-01-01,DEBIT_ORDER,COMPLETED,PAYREF58D469EA0E,
PAY000062,C0514,A1377,POL0776,223.16,ZAR,2026-06-30,DEBIT_ORDER,COMPLETED,PAYREFC13C5EBE4F,
PAY000063,C0079,A0084,,737.34,ZAR,2024-03-28,EFT,COMPLETED,PAYREFCF26392AFD,
PAY000064,C0385,A0392,POL0631,4975.97,ZAR,2024-12-03,CARD,COMPLETED,PAYREFA10D9AC9DE,
PAY000065,C0506,A0662,POL0145,406.42,ZAR,2024-12-15,EFT,COMPLETED,PAYREF12E0920018,
PAY000066,C0172,A0312,,1078.35,ZAR,2024-02-26,EFT,COMPLETED,PAYREFEC75581B33,
PAY000067,C0628,A1211,POL0374,3600.55,ZAR,2024-11-12,DEBIT_ORDER,COMPLETED,PAYREF431C59475E,
PAY000068,C0026,A0615,,2556.55,ZAR,2025-10-07,EFT,COMPLETED,PAYREFEF9292088A,
PAY000069,C0026,A0967,POL0579,10058.63,ZAR,2026-02-07,MOBILE,COMPLETED,PAYREFB0B1A6E239,
PAY000070,C0874,A1131,,1100.34,ZAR,2024-06-06,CARD,COMPLETED,PAYREFF2472BED47,
PAY000071,C0956,A1259,,705.12,ZAR,2025-05-25,CASH,COMPLETED,PAYREFBE06D5188E,
PAY000072,C0962,A0342,POL0166,367.06,ZAR,2025-08-05,EFT,COMPLETED,PAYREFCC674F4011,
PAY000073,C0697,A0653,POL0009,759.0,ZAR,2025-04-27,MOBILE,COMPLETED,PAYREF9064D175A8,
PAY000074,C0417,A0071,POL0308,363.73,ZAR,2024-01-29,CARD,COMPLETED,PAYREF10A7A1F065,
PAY000075,C0182,A0481,POL0226,181.92,ZAR,2024-06-24,DEBIT_ORDER,COMPLETED,PAYREF23CB32201E,
PAY000076,C0424,A0208,,7811.81,ZAR,2026-06-23,CASH,COMPLETED,PAYREF8A0F457A82,
PAY000077,C0946,A0773,POL0635,1151.6,ZAR,2024-05-27,DEBIT_ORDER,COMPLETED,PAYREF127C8A10D8,
PAY000078,C0327,A1024,POL0022,14639.33,ZAR,2024-06-30,CARD,COMPLETED,PAYREFE61B4A82C8,
PAY000079,C0812,A1116,POL0148,473.77,ZAR,2026-07-11,CARD,PENDING,PAYREF3E2C1225B1,
PAY000080,C0938,A1325,POL0294,714.22,ZAR,2026-02-05,CARD,COMPLETED,PAYREFCE1E5E4767,
PAY000081,C0210,A1149,,505.04,ZAR,2025-05-25,CASH,COMPLETED,PAYREFC9FEEA2B00,
PAY000082,C0835,A0379,,577.81,ZAR,2024-07-01,EFT,COMPLETED,PAYREFF5F02A3AA2,
PAY000083,C0150,A1341,,2627.02,ZAR,2024-11-09,CARD,FAILED,PAYREFBFC316099A,Invalid account
PAY000084,C0602,A0757,,1932.03,ZAR,2024-11-17,MOBILE,COMPLETED,PAYREFAA5107722F,
PAY000085,C0802,A0344,POL0387,2631.76,ZAR,2026-04-11,EFT,COMPLETED,PAYREF99E620F320,
PAY000086,C0880,A0581,,4197.61,ZAR,2026-05-07,MOBILE,PENDING,PAYREFB41DD5CB20,
PAY000087,C0427,A0232,,3318.79,ZAR,2024-09-01,CASH,COMPLETED,PAYREF6450BD3D14,
PAY000088,C0204,A0864,POL0606,400.02,ZAR,2025-07-22,CASH,COMPLETED,PAYREF8F3E782D22,
PAY000089,C0885,A0536,POL0025,649.49,ZAR,2026-03-19,DEBIT_ORDER,PENDING,PAYREFCA603E900C,
PAY000090,C0791,A0843,POL0485,1238.29,ZAR,2026-09-15,CARD,COMPLETED,PAYREF685F0C022E,
PAY000091,C0250,A0233,,45607.77,ZAR,2024-03-08,MOBILE,COMPLETED,PAYREFA346ADDC73,
PAY000092,C0544,A0144,POL0066,2374.16,ZAR,2026-01-28,DEBIT_ORDER,COMPLETED,PAYREF7AF4CF753E,
PAY000093,C0512,A1328,POL0215,1220.1,ZAR,2024-05-11,EFT,COMPLETED,PAYREFC7967361C9,
PAY000094,C0450,A0554,,2150.11,ZAR,2025-06-19,DEBIT_ORDER,COMPLETED,PAYREFA7C29E3B92,
PAY000095,C0291,A0313,POL0084,599.97,ZAR,2024-08-19,CASH,COMPLETED,PAYREFFC28B38B07,
PAY000096,C0607,A0343,POL0014,1425.71,ZAR,2026-01-01,CASH,COMPLETED,PAYREF9D21659515,
PAY000097,C0392,A1248,POL0052,2848.83,ZAR,2025-11-17,CARD,COMPLETED,PAYREFE79296AFCD,
PAY000098,C0415,A1237,POL0120,1065.29,ZAR,2024-05-23,MOBILE,PENDING,PAYREFF7F79AD55E,
PAY000099,C0005,A1026,POL0023,514.63,ZAR,2025-10-23,CARD,COMPLETED,PAYREF296B3D850F,
PAY000100,C0431,A1032,,1014.47,ZAR,2025-02-15,DEBIT_ORDER,COMPLETED,PAYREF8D687B4808,
PAY000101,C0144,A0447,POL0544,796.66,ZAR,2024-10-22,DEBIT_ORDER,COMPLETED,PAYREF4CA91D26DC,
PAY000102,C0551,A0056,POL0435,282.27,ZAR,2025-03-12,MOBILE,COMPLETED,PAYREF416BECBEA2,
PAY000103,C0375,A1216,,619.21,ZAR,2024-09-19,EFT,COMPLETED,PAYREFC23C9B347F,
PAY000104,C0967,A0801,POL0355,272.38,ZAR,2024-07-19,CARD,COMPLETED,PAYREF590A64574B,
PAY000105,C0141,A1176,,318.37,ZAR,2025-09-06,DEBIT_ORDER,COMPLETED,PAYREFE6EF8A73C9,
PAY000106,C0504,A0391,POL0658,350.39,ZAR,2026-08-06,CASH,COMPLETED,PAYREFE9386AE336,
PAY000107,C0989,A0037,POL0205,2845.38,ZAR,2025-06-20,CARD,COMPLETED,PAYREFE888ED999E,
PAY000108,C0550,A0724,POL0381,4861.81,ZAR,2025-05-01,MOBILE,COMPLETED,PAYREF837E42D9CD,
PAY000109,C0177,A1247,POL0663,236.02,ZAR,2025-06-28,CASH,FAILED,PAYREF71726D9FFB,Account closed
PAY000110,C0217,A0993,,5325.08,ZAR,2025-11-18,MOBILE,COMPLETED,PAYREFC12A3B8D1A,
PAY000111,C0608,A1174,POL0790,355.46,ZAR,2025-08-03,EFT,FAILED,PAYREFBDECE43AE0,Account closed
PAY000112,C0796,A0834,POL0784,2314.34,ZAR,2025-02-01,EFT,COMPLETED,PAYREFB73468694A,
PAY000113,C0304,A0118,POL0215,1420.21,ZAR,2025-11-15,CARD,COMPLETED,PAYREF312875BB45,
PAY000114,C0143,A0464,POL0131,2071.13,ZAR,2026-01-01,CASH,COMPLETED,PAYREF481FA0D70A,
PAY000115,C0174,A0768,POL0060,341.81,ZAR,2026-04-10,CARD,COMPLETED,PAYREF9A2DCE1DE6,
PAY000116,C0983,A1086,POL0035,179.05,ZAR,2026-04-01,DEBIT_ORDER,COMPLETED,PAYREFB9EAFFF155,
PAY000117,C0838,A1277,POL0291,491.32,ZAR,2024-06-08,MOBILE,COMPLETED,PAYREFB9B9D64EE2,
PAY000118,C0371,A1001,,1680.54,ZAR,2024-03-27,MOBILE,COMPLETED,PAYREFA28BC9EBE3,
PAY000119,C0358,A0186,POL0670,7761.29,ZAR,2024-11-14,CARD,PENDING,PAYREFA652C2D900,
PAY000120,C0738,A1159,POL0611,391.61,ZAR,2026-09-09,EFT,FAILED,PAYREFB39967CA2A,Technical error
PAY000121,C0154,A0916,POL0489,993.43,ZAR,2025-02-15,DEBIT_ORDER,COMPLETED,PAYREFE7A8AD4DCC,
PAY000122,C0032,A1299,,518.49,ZAR,2025-06-26,MOBILE,COMPLETED,PAYREFB4B7070F6B,
PAY000123,C0442,A1088,POL0291,1077.9,ZAR,2026-09-04,CASH,COMPLETED,PAYREFAAA41750DC,
PAY000124,C0481,A0930,,159.05,ZAR,2025-11-20,CASH,PENDING,PAYREF2AEE7A7A2A,
PAY000125,C0114,A0548,,4905.16,ZAR,2024-12-24,MOBILE,COMPLETED,PAYREF09882B649D,
PAY000126,C0777,A0434,,1123.31,ZAR,2024-07-17,CARD,COMPLETED,PAYREF13D1C44B77,
PAY000127,C0807,A0278,,2743.98,ZAR,2024-05-04,EFT,COMPLETED,PAYREF439587FC6C,
PAY000128,C0512,A0698,,869.4,ZAR,2024-03-11,CARD,COMPLETED,PAYREFD1268E2805,
PAY000129,C0508,A0108,POL0589,1326.94,ZAR,2024-07-12,EFT,COMPLETED,PAYREF20641D37C0,
PAY000130,C0417,A1414,POL0026,3390.97,ZAR,2024-07-27,DEBIT_ORDER,COMPLETED,PAYREFDCD1AEB7FC,
PAY000131,C0998,A1285,POL0767,1251.02,ZAR,2025-06-10,DEBIT_ORDER,COMPLETED,PAYREF56A275C1D3,
PAY000132,C0326,A1389,,1296.87,ZAR,2026-08-28,EFT,COMPLETED,PAYREF6249200AF3,
PAY000133,C0666,A0015,,495.74,ZAR,2024-07-27,EFT,COMPLETED,PAYREFE53930C17F,
PAY000134,C0160,A0677,,642.63,ZAR,2025-02-03,DEBIT_ORDER,COMPLETED,PAYREF8CDC5B28F6,
PAY000135,C0646,A0891,,398.29,ZAR,2024-10-08,MOBILE,PENDING,PAYREF5E32B70F40,
PAY000136,C0029,A0867,,524.26,ZAR,2026-01-22,CARD,COMPLETED,PAYREFEC63C41468,
PAY000137,C0182,A1455,POL0281,3832.33,ZAR,2025-09-11,CARD,COMPLETED,PAYREF9EE63BEBC6,
PAY000138,C0589,A0873,,6691.61,ZAR,2024-02-26,MOBILE,COMPLETED,PAYREF4323AEED6F,
PAY000139,C0320,A0795,POL0437,315.05,ZAR,2025-02-23,CASH,COMPLETED,PAYREFB8CE0E8FB4,
PAY000140,C0644,A0779,,1628.1,ZAR,2025-12-26,MOBILE,PENDING,PAYREFF23A4410CF,
PAY000141,C0675,A1307,POL0029,798.16,ZAR,2025-01-08,CARD,COMPLETED,PAYREF69014E9CE7,
PAY000142,C0154,A0837,POL0135,4433.61,ZAR,2024-01-30,MOBILE,COMPLETED,PAYREF0CA479ED03,
PAY000143,C0891,A0917,POL0048,1254.96,ZAR,2025-02-25,CARD,PENDING,PAYREF8CF6707EFB,
PAY000144,C0700,A1095,,1088.47,ZAR,2024-05-15,EFT,COMPLETED,PAYREF79AF7F6444,
PAY000145,C0323,A0237,POL0662,520.73,ZAR,2025-05-24,EFT,COMPLETED,PAYREF29F80185E2,
PAY000146,C0558,A1033,POL0032,237.04,ZAR,2025-11-16,CASH,COMPLETED,PAYREF1BA9BAFD39,
PAY000147,C0607,A0666,POL0109,2347.11,ZAR,2026-07-14,CARD,COMPLETED,PAYREFB941AE7251,
PAY000148,C0091,A0004,POL0747,1560.84,ZAR,2024-03-16,EFT,COMPLETED,PAYREF8A29E0EBCE,
PAY000149,C0716,A0506,POL0480,1599.5,ZAR,2025-07-30,CARD,COMPLETED,PAYREFF9A0A61973,
PAY000150,C0905,A0925,POL0217,602.25,ZAR,2025-04-14,CASH,COMPLETED,PAYREF1CAAD50362,
PAY000151,C0132,A1376,POL0720,947.88,ZAR,2026-02-14,MOBILE,FAILED,PAYREF14176EAA52,Account closed
PAY000152,C0445,A1378,POL0607,2418.91,ZAR,2024-01-04,CASH,COMPLETED,PAYREF2ADF7A21C9,
PAY000153,C0755,A0604,,2928.11,ZAR,2024-08-19,CASH,COMPLETED,PAYREFFAEE303E1E,
PAY000154,C0208,A0754,POL0256,337.49,ZAR,2026-05-28,CARD,PENDING,PAYREFA041EDA997,
PAY000155,C0183,A0820,,582.11,ZAR,2026-05-22,DEBIT_ORDER,COMPLETED,PAYREF1F80D5D9EC,
PAY000156,C0986,A1292,POL0299,273.18,ZAR,2024-09-22,CARD,PENDING,PAYREF94B071C1C2,
PAY000157,C0458,A0257,POL0080,1341.13,ZAR,2024-05-08,CARD,COMPLETED,PAYREFA9A572DEC0,
PAY000158,C0444,A1404,,2655.37,ZAR,2024-06-08,CASH,COMPLETED,PAYREFF88E21FECB,
PAY000159,C0456,A0065,POL0435,829.88,ZAR,2026-08-27,CARD,COMPLETED,PAYREFB22B8F070D,
PAY000160,C0462,A1407,POL0180,565.18,ZAR,2024-04-30,CASH,COMPLETED,PAYREF423EE23BED,
PAY000161,C0416,A1242,POL0316,784.23,ZAR,2026-01-23,CASH,COMPLETED,PAYREF254D75DEC4,
PAY000162,C0843,A1389,,11007.29,ZAR,2024-05-27,CARD,COMPLETED,PAYREF1080EAD134,
PAY000163,C0360,A0748,POL0601,3611.68,ZAR,2025-03-02,CARD,COMPLETED,PAYREFA37BB3978A,
PAY000164,C0999,A0835,POL0044,2277.87,ZAR,2026-05-05,MOBILE,COMPLETED,PAYREFE70A87119F,
PAY000165,C0088,A0532,POL0616,1510.31,ZAR,2026-03-13,DEBIT_ORDER,COMPLETED,PAYREF9E7C8F7340,
PAY000166,C0832,A0711,POL0083,1082.75,ZAR,2024-02-17,CASH,COMPLETED,PAYREF55CD0FDDAD,
PAY000167,C0367,A0793,POL0612,442.91,ZAR,2025-11-26,CARD,COMPLETED,PAYREF399E80B71E,
PAY000168,C0619,A1029,POL0534,379.29,ZAR,2024-11-22,CASH,COMPLETED,PAYREFA091D2ED85,
PAY000169,C0743,A1035,POL0675,621.47,ZAR,2024-12-30,EFT,COMPLETED,PAYREFDC69357DBC,
PAY000170,C0480,A1294,POL0177,422.51,ZAR,2025-11-17,CASH,COMPLETED,PAYREF1ED1584E2C,
PAY000171,C0452,A1037,POL0513,597.16,ZAR,2026-03-28,DEBIT_ORDER,COMPLETED,PAYREF6A91F26F9E,
PAY000172,C0657,A0327,,990.4,ZAR,2024-12-07,CASH,COMPLETED,PAYREFDF987D29C7,
PAY000173,C0887,A0307,POL0743,1069.23,ZAR,2024-01-30,DEBIT_ORDER,COMPLETED,PAYREF05A56AD378,
PAY000174,C0836,A0139,,589.7,ZAR,2025-10-14,CARD,COMPLETED,PAYREFB62116B5BD,
PAY000175,C0828,A0655,,1799.4,ZAR,2024-02-27,CASH,COMPLETED,PAYREF5B40D9617C,
PAY000176,C0368,A1011,,907.77,ZAR,2024-12-17,MOBILE,COMPLETED,PAYREFC8FC38A454,
PAY000177,C0556,A0897,,1359.26,ZAR,2024-06-22,MOBILE,COMPLETED,PAYREF2A2D5CB604,
PAY000178,C0619,A1062,,520.82,ZAR,2025-07-27,CARD,COMPLETED,PAYREF8C85AB2FF0,
PAY000179,C0487,A0405,,2192.66,ZAR,2024-10-15,EFT,COMPLETED,PAYREF57C068D4B7,
PAY000180,C0881,A1206,POL0557,642.36,ZAR,2025-09-16,EFT,COMPLETED,PAYREFA04FC53C1D,
PAY000181,C0382,A0012,POL0290,5478.32,ZAR,2024-06-28,MOBILE,COMPLETED,PAYREF29C2122725,
PAY000182,C0703,A1358,,875.69,ZAR,2024-10-22,CARD,COMPLETED,PAYREF321704B5F9,
PAY000183,C0130,A1455,POL0731,997.56,ZAR,2025-09-13,CASH,COMPLETED,PAYREF6BBA3A9F67,
PAY000184,C0479,A0840,POL0633,1985.43,ZAR,2024-07-09,CARD,COMPLETED,PAYREF7894321A83,
PAY000185,C0451,A0824,POL0643,2469.7,ZAR,2025-12-05,MOBILE,COMPLETED,PAYREF0AC62F8D56,
PAY000186,C0450,A0680,,2750.65,ZAR,2025-09-08,CARD,PENDING,PAYREF51F7B0ACB9,
PAY000187,C0186,A0289,POL0644,6474.25,ZAR,2026-09-01,MOBILE,COMPLETED,PAYREF5D28B17DD9,
PAY000188,C0866,A1048,POL0187,2125.76,ZAR,2026-05-13,CARD,COMPLETED,PAYREFD500C3080B,
PAY000189,C0609,A0912,,1025.58,ZAR,2025-04-23,CASH,COMPLETED,PAYREF653D121EBB,
PAY000190,C0526,A0411,POL0245,645.71,ZAR,2025-04-07,MOBILE,COMPLETED,PAYREF5CFE3BC7F6,
PAY000191,C0948,A1260,POL0516,959.27,ZAR,2026-09-14,CARD,COMPLETED,PAYREF1BFE0EF4C2,
PAY000192,C0852,A1330,,4836.84,ZAR,2025-10-22,CARD,COMPLETED,PAYREFD4CF87C587,
PAY000193,C0397,A0110,,273.97,ZAR,2024-03-14,MOBILE,COMPLETED,PAYREF037067D97A,
PAY000194,C0887,A0040,POL0789,483.47,ZAR,2026-03-30,EFT,COMPLETED,PAYREF8B3251F541,
PAY000195,C0784,A1486,,880.96,ZAR,2025-04-13,EFT,COMPLETED,PAYREF19BB692D53,
PAY000196,C0939,A1040,POL0188,477.08,ZAR,2026-06-20,MOBILE,COMPLETED,PAYREF027C1B8B38,
PAY000197,C0950,A0153,POL0696,728.68,ZAR,2024-11-01,DEBIT_ORDER,COMPLETED,PAYREF3B7E2F5672,
PAY000198,C0040,A0864,POL0591,6675.73,ZAR,2025-01-18,MOBILE,COMPLETED,PAYREF9EC21B5709,
PAY000199,C0512,A0820,,813.96,ZAR,2026-03-10,EFT,COMPLETED,PAYREFE2EC068EC0,
PAY000200,C0877,A1427,,1655.15,ZAR,2024-12-08,CASH,COMPLETED,PAYREFE3251547AD,
PAY000201,C0889,A0792,,208.89,ZAR,2024-12-22,EFT,COMPLETED,PAYREF1459821B7D,
PAY000202,C0828,A0596,POL0634,364.15,ZAR,2025-02-20,CASH,COMPLETED,PAYREF3DEB4639F8,
PAY000203,C0511,A0026,POL0593,2786.9,ZAR,2025-03-09,EFT,COMPLETED,PAYREFFC633BA46B,
PAY000204,C0965,A0231,,5814.03,ZAR,2026-01-23,CARD,COMPLETED,PAYREF0416639C88,
PAY000205,C0965,A0003,POL0444,1368.42,ZAR,2026-03-25,DEBIT_ORDER,COMPLETED,PAYREF7C076E7539,
PAY000206,C0051,A0050,,807.53,ZAR,2024-06-08,MOBILE,FAILED,PAYREFA477334F03,Insufficient funds
PAY000207,C0979,A0849,POL0359,1801.12,ZAR,2024-02-18,DEBIT_ORDER,COMPLETED,PAYREF06452259C2,
PAY000208,C0729,A0011,POL0417,81.66,ZAR,2026-08-02,DEBIT_ORDER,COMPLETED,PAYREFBC7595527A,
PAY000209,C0262,A0234,POL0663,1379.01,ZAR,2025-04-14,MOBILE,COMPLETED,PAYREF060E305B3D,
PAY000210,C0343,A1049,POL0038,385.25,ZAR,2026-09-08,CARD,COMPLETED,PAYREF14C4099151,
PAY000211,C0288,A0582,POL0758,2426.23,ZAR,2026-02-17,DEBIT_ORDER,COMPLETED,PAYREF88FB3CB025,
PAY000212,C0514,A0366,POL0530,122.45,ZAR,2025-11-10,CASH,COMPLETED,PAYREFECA919FA6D,
PAY000213,C0123,A0825,POL0194,585.01,ZAR,2024-06-15,EFT,COMPLETED,PAYREFA0AF51ECE6,
PAY000214,C0122,A0888,,1052.61,ZAR,2025-10-24,MOBILE,COMPLETED,PAYREF2947F03629,
PAY000215,C0305,A0350,POL0561,511.94,ZAR,2025-01-05,CARD,COMPLETED,PAYREFBAD8FAC447,
PAY000216,C0151,A0708,,753.34,ZAR,2026-07-20,CARD,COMPLETED,PAYREFD2F80F0006,
PAY000217,C0214,A0666,POL0513,2709.27,ZAR,2025-04-22,DEBIT_ORDER,COMPLETED,PAYREF4D896EFFB4,
PAY000218,C0514,A1349,POL0738,1070.1,ZAR,2025-04-08,MOBILE,COMPLETED,PAYREFEF5DAE84EC,
PAY000219,C0855,A0220,,432.43,ZAR,2025-04-25,DEBIT_ORDER,REVERSED,PAYREF83C388B39D,
PAY000220,C0692,A0852,POL0606,2808.48,ZAR,2024-04-07,CASH,COMPLETED,PAYREFC3583A58CE,
PAY000221,C0659,A1082,,1409.49,ZAR,2026-01-25,DEBIT_ORDER,COMPLETED,PAYREF7F3406469A,
PAY000222,C0870,A0717,,1469.22,ZAR,2024-01-28,DEBIT_ORDER,COMPLETED,PAYREFFED3710D01,
PAY000223,C0270,A0523,POL0692,449.21,ZAR,2025-09-16,CASH,COMPLETED,PAYREFA077026FFE,
PAY000224,C0318,A0683,POL0260,85.83,ZAR,2025-02-14,EFT,COMPLETED,PAYREF125B24F60C,
PAY000225,C0469,A1415,,443.13,ZAR,2024-03-02,DEBIT_ORDER,COMPLETED,PAYREF9BF95FAD21,
PAY000226,C0142,A1329,,400.27,ZAR,2026-09-06,MOBILE,COMPLETED,PAYREFC94C5DC093,
PAY000227,C0233,A0143,POL0659,593.9,ZAR,2024-01-04,CASH,COMPLETED,PAYREF0F09911B61,
PAY000228,C0226,A1001,,472.55,ZAR,2026-04-25,EFT,COMPLETED,PAYREFD241358324,
PAY000229,C0201,A0711,POL0654,1227.46,ZAR,2025-01-30,CASH,FAILED,PAYREFE02330CA16,Account closed
